,time,HR
0,00:00:00,62.0
1,00:01:00,64.0
2,00:02:00,71.0
3,00:03:00,70.0
4,00:04:00,68.0
5,00:05:00,66.0
6,00:06:00,68.0
7,00:07:00,73.0
8,00:08:00,66.0
9,00:09:00,64.0
10,00:10:00,70.0
11,00:11:00,68.0
12,00:12:00,67.0
13,00:13:00,74.0
14,00:14:00,69.0
15,00:15:00,72.0
16,00:16:00,78.0
17,00:17:00,69.0
18,00:18:00,67.0
19,00:19:00,69.0
20,00:20:00,70.0
21,00:21:00,70.0
22,00:22:00,68.0
23,00:23:00,70.0
24,00:24:00,68.0
25,00:25:00,64.0
26,00:26:00,65.0
27,00:27:00,68.0
28,00:28:00,66.0
29,00:29:00,63.0
30,00:30:00,63.0
31,00:31:00,63.0
32,00:32:00,66.0
33,00:33:00,66.0
34,00:34:00,66.0
35,00:35:00,68.0
36,00:36:00,68.0
37,00:37:00,72.0
38,00:38:00,64.0
39,00:39:00,62.0
40,00:40:00,63.0
41,00:41:00,63.0
42,00:42:00,63.0
43,00:43:00,63.0
44,00:44:00,61.0
45,00:45:00,63.0
46,00:46:00,62.0
47,00:47:00,63.0
48,00:48:00,62.0
49,00:49:00,64.0
50,00:50:00,63.0
51,00:51:00,62.0
52,00:52:00,62.0
53,00:53:00,64.0
54,00:54:00,61.0
55,00:55:00,62.0
56,00:56:00,62.0
57,00:57:00,62.0
58,00:58:00,63.0
59,00:59:00,64.0
60,01:00:00,63.0
61,01:01:00,62.0
62,01:02:00,62.0
63,01:03:00,65.0
64,01:04:00,76.0
65,01:05:00,72.0
66,01:06:00,70.0
67,01:07:00,68.0
68,01:08:00,77.0
69,01:09:00,65.0
70,01:10:00,61.0
71,01:11:00,61.0
72,01:12:00,62.0
73,01:13:00,61.0
74,01:14:00,61.0
75,01:15:00,61.0
76,01:16:00,61.0
77,01:17:00,63.0
78,01:18:00,62.0
79,01:19:00,61.0
80,01:20:00,60.0
81,01:21:00,61.0
82,01:22:00,61.0
83,01:23:00,60.0
84,01:24:00,61.0
85,01:25:00,65.0
86,01:26:00,65.0
87,01:27:00,65.0
88,01:28:00,63.0
89,01:29:00,66.0
90,01:30:00,63.0
91,01:31:00,62.0
92,01:32:00,61.0
93,01:33:00,66.0
94,01:34:00,65.0
95,01:35:00,65.0
96,01:36:00,62.0
97,01:37:00,63.0
98,01:38:00,61.0
99,01:39:00,67.0
100,01:40:00,62.0
101,01:41:00,63.0
102,01:42:00,64.0
103,01:43:00,61.0
104,01:44:00,57.0
105,01:45:00,55.0
106,01:46:00,57.0
107,01:47:00,58.0
108,01:48:00,54.0
109,01:49:00,55.0
110,01:50:00,56.0
111,01:51:00,55.0
112,01:52:00,56.0
113,01:53:00,55.0
114,01:54:00,55.0
115,01:55:00,56.0
116,01:56:00,54.0
117,01:57:00,58.0
118,01:58:00,55.0
119,01:59:00,55.0
120,02:00:00,56.0
121,02:01:00,62.0
122,02:02:00,55.0
123,02:03:00,52.0
124,02:04:00,56.0
125,02:05:00,55.0
126,02:06:00,55.0
127,02:07:00,54.0
128,02:08:00,55.0
129,02:09:00,56.0
130,02:10:00,56.0
131,02:11:00,55.0
132,02:12:00,55.0
133,02:13:00,54.0
134,02:14:00,56.0
135,02:15:00,56.0
136,02:16:00,55.0
137,02:17:00,54.0
138,02:18:00,55.0
139,02:19:00,56.0
140,02:20:00,56.0
141,02:21:00,56.0
142,02:22:00,58.0
143,02:23:00,56.0
144,02:24:00,56.0
145,02:25:00,55.0
146,02:26:00,53.0
147,02:27:00,56.0
148,02:28:00,55.0
149,02:29:00,56.0
150,02:30:00,59.0
151,02:31:00,67.0
152,02:32:00,57.0
153,02:33:00,56.0
154,02:34:00,55.0
155,02:35:00,54.0
156,02:36:00,55.0
157,02:37:00,54.0
158,02:38:00,52.0
159,02:39:00,54.0
160,02:40:00,53.0
161,02:41:00,53.0
162,02:42:00,53.0
163,02:43:00,54.0
164,02:44:00,53.0
165,02:45:00,54.0
166,02:46:00,54.0
167,02:47:00,54.0
168,02:48:00,54.0
